Município,S1,S2
SALTO VELOSO,0.0,0.0
SANTA HELENA,-5.0,-1.0
SANTA TEREZINHA,0.0,0.0
SANTA TEREZINHA DO PROGRESSO,0.0,0.0
SANTIAGO DO SUL,0.0,0.0
SANTO AMARO DA IMPERATRIZ,0.0,0.0
SAUDADES,9.0,29.0
SCHROEDER,0.0,0.0
SEARA,0.0,0.0
SERRA ALTA,0.0,0.0
SOMBRIO,0.0,0.0
SUL BRASIL,0.0,0.0
SÃO BENTO DO SUL,0.0,0.0
SÃO BERNARDINO,0.0,0.0
SÃO BONIFÁCIO,0.0,0.0
SÃO CARLOS,-13.0,1.0
SÃO DOMINGOS,0.0,0.0
SÃO FRANCISCO DO SUL,-75.0,43.0
SÃO JOSÉ,-20.0,12.0
SÃO JOSÉ DO CEDRO,0.0,0.0
SÃO JOÃO BATISTA,0.0,-3.0
SÃO JOÃO DO ITAPERIÚ,0.0,0.0
SÃO JOÃO DO OESTE,-1.0,1.0
SÃO LOURENÇO DO OESTE,-1.0,0.0
SÃO LUDGERO,0.0,0.0
SÃO MIGUEL DA BOA VISTA,0.0,0.0
SÃO MIGUEL DO OESTE,-30.0,4.0
SÃO PEDRO DE ALCÂNTARA,0.0,0.0
TAIÓ,0.0,0.0
TANGARÁ,0.0,0.0
TIGRINHOS,0.0,1.0
TIJUCAS,-18.0,0.0
TIMBÓ,0.0,0.0
TREZE TÍLIAS,0.0,0.0
TROMBUDO CENTRAL,0.0,0.0
TUBARÃO,0.0,0.0
TUNÁPOLIS,-1.0,0.0
UNIÃO DO OESTE,0.0,0.0
URUBICI,0.0,0.0
URUSSANGA,0.0,0.0
VARGEM BONITA,0.0,0.0
VARGEÃO,0.0,0.0
VIDAL RAMOS,0.0,0.0
VIDEIRA,0.0,0.0
XANXERÊ,-7.0,6.0
XAVANTINA,0.0,0.0
XAXIM,-11.0,5.0
ZORTÉA,0.0,0.0
ÁGUA DOCE,0.0,0.0
ÁGUAS DE CHAPECÓ,-10.0,11.0
ÁGUAS FRIAS,0.0,0.0
ÁGUAS MORNAS,0.0,0.0
